Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Income,LoanAmount,Term,Credit_History,Property_Area,Loan_Status
LP001003,Male,Yes,1,Graduate,No,4583,128,360,40,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,3000,66,360,53,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,2583,120,360,54,Urban,Y
LP001008,Male,No,0,Graduate,No,6000,141,360,40,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,2333,95,360,66,Urban,Y
LP001024,Male,Yes,2,Graduate,No,3200,70,360,78,Urban,Y
LP001027,Male,Yes,2,Graduate,,2500,109,360,23,Urban,Y
LP001029,Male,No,0,Graduate,No,1853,114,360,56,Rural,N
LP001030,Male,Yes,2,Graduate,No,1299,17,120,12,Urban,Y
LP001032,Male,No,0,Graduate,No,4950,125,360,23,Urban,Y
LP001034,Male,No,1,Not Graduate,No,3596,100,240,34,Urban,Y
LP001036,Female,No,0,Graduate,No,3510,76,360,45,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,4887,133,360,56,Rural,N
LP001041,Male,Yes,0,Graduate,,2600,115,,67,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,7660,104,360,78,Urban,N
LP001047,Male,Yes,0,Not Graduate,No,2600,116,360,45,Semiurban,N
LP001050,,Yes,2,Not Graduate,No,3365,112,360,45,Rural,N
LP001068,Male,Yes,0,Graduate,No,2799,122,360,76,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,4226,110,360,32,Urban,Y
LP001086,Male,No,0,Not Graduate,No,1442,35,360,54,Urban,N
LP001087,Female,No,2,Graduate,,3750,120,360,76,Semiurban,Y
LP001095,Male,No,0,Graduate,No,3167,74,360,45,Urban,N
LP001097,Male,No,1,Graduate,Yes,4692,106,360,98,Rural,N
LP001098,Male,Yes,0,Graduate,No,3500,114,360,67,Semiurban,Y
LP001109,Male,Yes,0,Graduate,No,1828,100,,68,Urban,N
LP001112,Female,Yes,0,Graduate,No,3667,144,360,54,Semiurban,Y
LP001116,Male,No,0,Not Graduate,No,3748,110,360,76,Semiurban,Y
LP001119,Male,No,0,Graduate,No,3600,80,360,45,Urban,N
LP001120,Male,No,0,Graduate,No,1800,47,360,98,Urban,Y
LP001123,Male,Yes,0,Graduate,No,2400,75,360,67,Urban,Y
LP001131,Male,Yes,0,Graduate,No,3941,134,360,68,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,Yes,4695,96,,32,Urban,Y
LP001137,Female,No,0,Graduate,No,3410,88,,54,Urban,Y
LP001138,Male,Yes,1,Graduate,No,5649,44,360,76,Urban,Y
LP001144,Male,Yes,0,Graduate,No,5821,144,360,45,Urban,Y
LP001146,Female,Yes,0,Graduate,No,2645,120,360,98,Urban,N
LP001151,Female,No,0,Graduate,No,4000,144,360,67,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,1928,100,360,68,Semiurban,Y
LP001157,Female,No,0,Graduate,No,3086,120,360,54,Semiurban,Y
LP001164,Female,No,0,Graduate,No,4230,112,360,76,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,4616,134,360,45,Urban,N
LP001194,Male,Yes,2,Graduate,No,2708,97,360,98,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,2132,96,360,67,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,3366,135,360,68,Rural,N
LP001199,Male,Yes,2,Not Graduate,No,3357,144,360,32,Urban,Y
LP001205,Male,Yes,0,Graduate,No,2500,120,360,54,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,3029,99,360,76,Urban,Y
LP001222,Female,No,0,Graduate,No,4166,116,360,45,Semiurban,N
LP001228,Male,No,0,Not Graduate,No,3200,126,180,98,Urban,N
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,125,60,67,Urban,Y
LP001241,Female,No,0,Graduate,No,4300,136,360,68,Semiurban,N
LP001245,Male,Yes,2,Not Graduate,Yes,1875,97,360,54,Semiurban,Y
LP001248,Male,No,0,Graduate,No,3500,81,300,76,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,No,4755,95,,10,Semiurban,N
LP001255,Male,No,0,Graduate,No,3750,113,480,20,Urban,N
LP001259,Male,Yes,1,Graduate,Yes,1000,110,360,30,Urban,N
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,130,360,40,Semiurban,Y
LP001265,Female,No,0,Graduate,No,3846,111,360,50,Semiurban,Y
LP001275,Male,Yes,1,Graduate,No,3988,50,240,60,Urban,Y
LP001279,Male,No,0,Graduate,No,2366,136,360,70,Semiurban,Y
LP001280,Male,Yes,2,Not Graduate,No,3333,99,360,80,Semiurban,Y
LP001282,Male,Yes,0,Graduate,No,2500,104,360,90,Semiurban,Y
LP001316,Male,Yes,0,Graduate,No,2958,131,360,11,Semiurban,Y
LP001319,Male,Yes,2,Not Graduate,No,3273,81,360,12,Urban,Y
LP001322,Male,No,0,Graduate,No,4133,122,360,12,Semiurban,Y
LP001325,Male,No,0,Not Graduate,No,3620,25,120,43,Semiurban,Y
LP001327,Female,Yes,0,Graduate,No,2484,137,360,65,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,1977,50,360,76,Semiurban,Y
